per_sem;agente;mto_tot_ingresos_soles;cnt_alquileres_mean;cnt_alquileres_std;cnt_dias_alquilados_mean;cnt_dias_alquilados_std;mto_alquiler_soles_std;mto_conserje_soles_mean;mto_conserje_soles_min;mto_conserje_soles_max;mto_conserje_soles_sum;mto_conserje_soles_std;mto_adicionales_soles_mean;mto_adicionales_soles_std;mto_tot_bruto_ingresos_soles_mean;mto_tot_bruto_ingresos_soles_std;porc_mto_alq_mean;porc_mto_alq_max;porc_mto_alq_std;porc_mto_csje_mean;porc_mto_csje_min;porc_mto_csje_max;porc_mto_csje_std;porc_mto_ing_mean;porc_mto_ing_max;ratio_alq_mto_x_unid_mean;ratio_alq_mto_x_unid_std;ratio_csje_mto_x_unid_mean;ratio_csje_mto_x_unid_min;ratio_csje_mto_x_unid_max;ratio_csje_mto_x_unid_std;ratio_alq_mto_x_dia_std;ratio_csje_mto_x_dia_mean;ratio_csje_mto_x_dia_min;ratio_csje_mto_x_dia_max;ratio_csje_mto_x_dia_std
201905;AGENT - 027;0;0.333333333;0.577350269;2;3.464101615;762.1023553;0;0;0;0;0;338.38;586.0913523;778.38;1348.193708;0.333333333;1;0.577350269;0;0;0;0;0.188425533;0.5652766;440;762.1023553;0;0;0;0;127.0170592;0;0;0;0
201905;AGENT - 028;2332;1;0;3;2.645751311;582.0652884;0;0;0;0;0;0;0;660;582.0652884;1;1;0;0;0;0;0;1;1;660;582.0652884;0;0;0;0;0;0;0;0;0
201905;AGENT - 029;6132.5;3.666666667;2.516611478;9.333333333;8.504900548;581.9700021;0;0;0;0;0;35.93333333;31.11917951;4153.6;4093.64479;1;1;0;0;0;0;0;0.989940608;1;1127.347222;505.907896;0;0;0;0;55.47495309;0;0;0;0
201906;AGENT - 001;440;0.333333333;0.577350269;0.333333333;0.577350269;127.0170592;0;0;0;0;0;0;0;73.33333333;127.0170592;0.333333333;1;0.577350269;0;0;0;0;0.333333333;1;73.33333333;127.0170592;0;0;0;0;127.0170592;0;0;0;0
201906;AGENT - 002;1056;6.666666667;2.309401077;10;10.39230485;2673.709097;0;0;0;0;0;1179.2;1853.336462;8708.08;3080.127181;1;1;0;0;0;0;0;0.898073656;1;1037.238;333.09043;0;0;0;0;3.87249742;0;0;0;0
201906;AGENT - 004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201906;AGENT - 006;2530;1.666666667;0.577350269;4.666666667;4.618802154;1641.704703;0;0;0;0;0;1605.266667;1641.01469;3064.6;3266.927407;1;1;0;0;0;0;0;0.473047736;0.588972431;814;757.9830143;0;0;0;0;46.12573396;0;0;0;0
201906;AGENT - 010;968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201906;AGENT - 012;3630;4;1.732050808;12;1;447.7689136;0;0;0;0;0;7439.278;0;14094.497;0;0.972826087;1;0.047066598;0;0;0;0;0.194433068;0.252811024;935;473.2761984;0;0;0;0;20.17791238;0;0;0;0
201906;AGENT - 015;660;1.333333333;0.577350269;4.333333333;4.163331999;990.0814781;0;0;0;0;0;154.33;128.587074;1151.663333;1117.988;1;1;0;0;0;0;0;0.85212944;0.877575697;645.3333333;418.1929379;0;0;0;0;8.467803948;0;0;0;0
